Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 22:46:50:535,0,-4.68359,-1.4499,-40.1257
2023-03-11 22:46:50:544,0,-4.68756,-1.4294,-40.1216
2023-03-11 22:46:50:555,0,-4.6937,-1.40411,-40.117
2023-03-11 22:46:50:565,0,-4.69913,-1.3817,-40.1192
2023-03-11 22:46:50:575,0,-4.70651,-1.36302,-40.1244
2023-03-11 22:46:50:585,0,-4.71098,-1.3438,-40.1393
2023-03-11 22:46:50:595,0,-4.71153,-1.32821,-40.1649
2023-03-11 22:46:50:605,0,-4.71067,-1.31172,-40.1933
2023-03-11 22:46:50:615,0,-4.70929,-1.29641,-40.2242
2023-03-11 22:46:50:625,0,-4.71047,-1.2877,-40.2492
2023-03-11 22:46:50:635,0,-4.72259,-1.27815,-40.2699
2023-03-11 22:46:50:645,0,-4.73946,-1.27098,-40.2823
2023-03-11 22:46:50:655,0,-4.76574,-1.26917,-40.2842
2023-03-11 22:46:50:665,0,-4.79209,-1.27364,-40.2651
2023-03-11 22:46:50:675,0,-4.82432,-1.28126,-40.2256
2023-03-11 22:46:50:684,0,-4.86316,-1.28802,-40.1756
2023-03-11 22:46:50:694,0,-4.89635,-1.29815,-40.1232
2023-03-11 22:46:50:704,0,-4.91356,-1.30209,-40.0764
2023-03-11 22:46:50:715,0,-4.91223,-1.30513,-40.0429
2023-03-11 22:46:50:725,0,-4.89259,-1.30036,-40.0176
2023-03-11 22:46:50:735,0,-4.87019,-1.29461,-39.9976
2023-03-11 22:46:50:745,0,-4.84993,-1.29556,-39.9886
2023-03-11 22:46:50:755,0,-4.83273,-1.29923,-39.9837
2023-03-11 22:46:50:765,0,-4.82373,-1.30773,-39.9812
2023-03-11 22:46:50:775,0,-4.83264,-1.31629,-39.9777
2023-03-11 22:46:50:785,0,-4.84737,-1.32557,-39.9703
2023-03-11 22:46:50:795,0,-4.86083,-1.33403,-39.9593
2023-03-11 22:46:50:805,0,-4.86992,-1.33157,-39.9458
2023-03-11 22:46:50:815,0,-4.87688,-1.32252,-39.9246
2023-03-11 22:46:50:825,0,-4.88205,-1.30676,-39.9021
2023-03-11 22:46:50:835,0,-4.88571,-1.2922,-39.8707
2023-03-11 22:46:50:845,0,-4.88423,-1.27953,-39.8444
2023-03-11 22:46:50:855,0,-4.88297,-1.27086,-39.8126
2023-03-11 22:46:50:865,0,-4.8824,-1.26688,-39.7865
2023-03-11 22:46:50:875,0,-4.88282,-1.26688,-39.7676
2023-03-11 22:46:50:885,0,-4.88163,-1.26731,-39.7539
2023-03-11 22:46:50:895,0,-4.87667,-1.27889,-39.7476
2023-03-11 22:46:50:905,0,-4.86684,-1.29115,-39.7396
2023-03-11 22:46:50:915,0,-4.85962,-1.3019,-39.733
2023-03-11 22:46:50:925,0,-4.85272,-1.30955,-39.727
2023-03-11 22:46:50:935,0,-4.85101,-1.31393,-39.7146
2023-03-11 22:46:50:945,0,-4.85184,-1.30779,-39.6958
2023-03-11 22:46:50:955,0,-4.86065,-1.29266,-39.6678
2023-03-11 22:46:50:965,0,-4.87662,-1.27358,-39.6357
2023-03-11 22:46:50:975,0,-4.88724,-1.25801,-39.601
2023-03-11 22:46:50:985,0,-4.89335,-1.24541,-39.567
2023-03-11 22:46:50:995,0,-4.89167,-1.23769,-39.5434
2023-03-11 22:46:51:5,0,-4.88237,-1.23068,-39.5307
2023-03-11 22:46:51:15,0,-4.87029,-1.22667,-39.5314
