Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 11:42:56:147,0,-79.7986,0.489917,77.8072,Q,Q
2023-03-15 11:42:56:158,0,-79.8007,0.488218,77.8047,Q,Q
2023-03-15 11:42:56:168,0,-79.8006,0.488078,77.8091,Q,Q
2023-03-15 11:42:56:178,0,-79.7963,0.489911,77.8085,Q,Q
2023-03-15 11:42:56:188,0,-79.795,0.488818,77.8116,Q,Q
2023-03-15 11:42:56:198,0,-79.7931,0.487323,77.8102,Q,Q
2023-03-15 11:42:56:208,0,-79.7945,0.48882,77.8082,Q,Q
2023-03-15 11:42:56:218,0,-79.7957,0.490418,77.809,Q,Q
2023-03-15 11:42:56:228,0,-79.7939,0.489633,77.808,Q,Q
2023-03-15 11:42:56:238,0,-79.7954,0.493434,77.8063,Q,Q
2023-03-15 11:42:56:248,0,-79.7945,0.497189,77.8039,Q,Q
2023-03-15 11:42:56:258,0,-79.7927,0.499533,77.8009,Q,Q
2023-03-15 11:42:56:268,0,-79.7879,0.502612,77.8014,Q,Q
2023-03-15 11:42:56:278,0,-79.7841,0.501837,77.8043,Q,Q
2023-03-15 11:42:56:288,0,-79.784,0.5004,77.8033,Q,Q
2023-03-15 11:42:56:298,0,-79.7858,0.499277,77.804,Q,Q
2023-03-15 11:42:56:308,0,-79.7927,0.497633,77.8036,Q,Q
2023-03-15 11:42:56:318,0,-79.7948,0.498112,77.8026,Q,Q
2023-03-15 11:42:56:328,0,-79.7951,0.498043,77.8027,Q,Q
2023-03-15 11:42:56:338,0,-79.7935,0.499308,77.8025,Q,Q
2023-03-15 11:42:56:348,0,-79.7934,0.499456,77.8019,Q,Q
2023-03-15 11:42:56:358,0,-79.7946,0.498728,77.8018,Q,Q
2023-03-15 11:42:56:368,0,-79.7954,0.498213,77.8017,Q,Q
2023-03-15 11:42:56:378,0,-79.7961,0.50028,77.8026,Q,Q
2023-03-15 11:42:56:388,0,-79.792,0.502748,77.8027,Q,Q
2023-03-15 11:42:56:398,0,-79.7917,0.501922,77.8031,Q,Q
2023-03-15 11:42:56:408,0,-79.7922,0.502603,77.8012,Q,Q
2023-03-15 11:42:56:418,0,-79.7947,0.501868,77.7996,Q,Q
2023-03-15 11:42:56:428,0,-79.7953,0.50159,77.7986,Q,Q
2023-03-15 11:42:56:438,0,-79.797,0.499975,77.799,Q,Q
2023-03-15 11:42:56:448,0,-79.7967,0.500471,77.7977,Q,Q
2023-03-15 11:42:56:458,0,-79.7998,0.498945,77.7965,Q,Q
2023-03-15 11:42:56:468,0,-79.7987,0.500887,77.8009,Q,Q
2023-03-15 11:42:56:478,0,-79.7968,0.498446,77.8006,Q,Q
2023-03-15 11:42:56:488,0,-79.7969,0.496848,77.7977,Q,Q
2023-03-15 11:42:56:498,0,-79.7956,0.496129,77.7964,Q,Q
2023-03-15 11:42:56:508,0,-79.7943,0.49662,77.7981,Q,Q
2023-03-15 11:42:56:518,0,-79.7945,0.496501,77.7991,Q,Q
2023-03-15 11:42:56:528,0,-79.7951,0.499077,77.7959,Q,Q
