Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 20:24:16:486,0,-9.35467,-1.96861,89.3351
2023-03-11 20:24:16:496,0,-9.37013,-1.96385,89.3173
2023-03-11 20:24:16:506,0,-9.38933,-1.9576,89.3021
2023-03-11 20:24:16:516,0,-9.40905,-1.95017,89.2835
2023-03-11 20:24:16:526,0,-9.42835,-1.94376,89.2638
2023-03-11 20:24:16:536,0,-9.44713,-1.93628,89.2428
2023-03-11 20:24:16:546,0,-9.466,-1.9266,89.2226
2023-03-11 20:24:16:556,0,-9.48082,-1.91633,89.1988
2023-03-11 20:24:16:565,0,-9.49204,-1.9037,89.1726
2023-03-11 20:24:16:575,0,-9.50308,-1.89476,89.1451
2023-03-11 20:24:16:585,0,-9.51119,-1.88843,89.1206
2023-03-11 20:24:16:595,0,-9.51999,-1.87751,89.0959
2023-03-11 20:24:16:605,0,-9.52456,-1.8728,89.0756
2023-03-11 20:24:16:615,0,-9.53085,-1.86553,89.0556
2023-03-11 20:24:16:625,0,-9.53734,-1.85551,89.0408
2023-03-11 20:24:16:636,0,-9.53702,-1.84744,89.0338
2023-03-11 20:24:16:646,0,-9.53534,-1.84499,89.0268
2023-03-11 20:24:16:656,0,-9.53036,-1.84283,89.0247
2023-03-11 20:24:16:665,0,-9.52139,-1.83984,89.0246
2023-03-11 20:24:16:675,0,-9.50954,-1.84056,89.032
2023-03-11 20:24:16:686,0,-9.49192,-1.84278,89.0424
2023-03-11 20:24:16:696,0,-9.47553,-1.84486,89.054
2023-03-11 20:24:16:706,0,-9.4571,-1.85356,89.0686
2023-03-11 20:24:16:715,0,-9.44308,-1.86453,89.0821
2023-03-11 20:24:16:725,0,-9.42822,-1.87631,89.0944
2023-03-11 20:24:16:735,0,-9.42123,-1.89203,89.107
2023-03-11 20:24:16:745,0,-9.42288,-1.90718,89.115
2023-03-11 20:24:16:755,0,-9.42909,-1.9164,89.1188
2023-03-11 20:24:16:765,0,-9.43534,-1.92881,89.1161
