Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-48-51-491343,0,160,1555,1445,-0.264,159.951,-0.32,0.35,-9.76,-2.06,-1.85,-157.35,37.349999999999994
2023-04-21 02-48-51-568621,0,160,1555,1445,-0.264,160.039,-0.27,0.32,-9.78,-2.07,-1.82,-157.34,37.34
2023-04-21 02-48-51-660615,0,160,1555,1445,-0.352,160.039,-0.24,0.34,-9.78,-2.1,-1.77,-157.33,37.33000000000001
2023-04-21 02-48-51-730364,0,160,1555,1445,-0.264,160.039,-0.28,0.35,-9.78,-2.12,-1.74,-157.34,37.34
2023-04-21 02-48-51-802472,0,160,1555,1445,-0.264,159.951,-0.26,0.33,-9.77,-2.13,-1.71,-157.35,37.349999999999994
2023-04-21 02-48-51-881561,0,160,1555,1445,-0.264,160.039,-0.25,0.36,-9.78,-2.14,-1.69,-157.35,37.349999999999994
2023-04-21 02-48-51-959843,0,160,1555,1445,-0.264,160.039,-0.23,0.34,-9.78,-2.15,-1.67,-157.36,37.360000000000014
2023-04-21 02-48-52-040436,0,160,1555,1445,-0.264,159.951,-0.24,0.35,-9.76,-2.15,-1.65,-157.35,37.349999999999994
2023-04-21 02-48-52-124929,0,160,1555,1445,-0.264,160.039,-0.24,0.34,-9.77,-2.14,-1.64,-157.35,37.349999999999994
2023-04-21 02-48-52-215390,0,160,1555,1445,-0.264,159.951,-0.25,0.34,-9.76,-2.14,-1.63,-157.36,37.360000000000014
2023-04-21 02-48-52-294442,0,160,1555,1445,-0.264,159.951,-0.23,0.34,-9.74,-2.14,-1.63,-157.36,37.360000000000014
2023-04-21 02-48-52-374274,0,160,1555,1445,-0.264,159.951,-0.22,0.35,-9.73,-2.14,-1.64,-157.37,37.370000000000005
2023-04-21 02-48-52-445844,0,160,1555,1445,-0.264,160.039,-0.26,0.33,-9.79,-2.13,-1.64,-157.39,37.389999999999986
2023-04-21 02-48-52-496460,0,160,1555,1445,-0.264,160.039,-0.24,0.36,-9.83,-2.14,-1.64,-157.4,37.400000000000006
2023-04-21 02-48-52-574199,0,160,1555,1445,-0.264,160.039,-0.26,0.34,-9.75,-2.14,-1.64,-157.41,37.41
