Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-23 23-28-04-416696,0,0,1530,1470,178.857,-12.926,-0.49,1.14,-9.72,-6.65,-2.97,160.41,35.20784000000003
2023-03-23 23-28-04-641061,0,0,1530,1470,178.857,-12.926,-0.55,1.14,-9.67,-6.75,-3.58,160.53,35.32784000000004
2023-03-23 23-28-04-864701,0,0,1530,1470,178.857,-12.926,-0.61,1.12,-9.69,-6.78,-3.62,160.7,35.497840000000025
2023-03-23 23-28-05-089166,0,0,1530,1470,178.945,-12.926,-0.56,1.15,-9.71,-6.77,-3.32,160.72,35.517840000000035
2023-03-23 23-28-05-312671,0,0,1530,1470,178.857,-12.926,-0.49,1.12,-9.67,-6.76,-3.01,160.29,35.08784000000003
2023-03-23 23-28-05-537187,0,0,1530,1470,178.857,-12.926,-0.49,1.14,-9.7,-6.73,-2.87,160.0,34.797840000000036
2023-03-23 23-28-05-761299,0,0,1530,1470,178.857,-12.926,-0.44,1.16,-9.71,-6.77,-3.1,160.06,34.85784000000004
2023-03-23 23-28-05-984731,0,0,1530,1470,178.857,-12.926,-0.54,1.2,-9.65,-6.9,-3.56,160.21,35.007840000000044
2023-03-23 23-28-06-208199,0,0,1530,1470,178.857,-12.926,-0.58,1.19,-9.69,-6.93,-3.33,160.38,35.17784000000003
2023-03-23 23-28-06-427543,0,0,1530,1470,178.857,-12.926,-0.5,1.19,-9.71,-6.85,-3.04,160.33,35.12784000000005
2023-03-23 23-28-06-650328,0,0,1530,1470,178.857,-12.926,-0.5,1.15,-9.71,-6.77,-2.86,159.98,34.777840000000026
2023-03-23 23-28-06-875718,0,0,1530,1470,178.857,-12.926,-0.49,1.14,-9.71,-6.7,-2.93,159.99,34.787840000000045
2023-03-23 23-28-07-097502,0,0,1530,1470,178.857,-12.926,-0.54,1.14,-9.68,-6.73,-3.6,160.24,35.037840000000045
2023-03-23 23-28-07-321626,0,0,1530,1470,178.945,-12.926,-0.6,1.13,-9.66,-6.75,-3.84,160.43,35.22784000000004
2023-03-23 23-28-07-545604,0,0,1530,1470,178.857,-12.926,-0.57,1.12,-9.67,-6.74,-3.24,160.67,35.467840000000024
2023-03-23 23-28-07-769607,0,0,1530,1470,178.945,-12.926,-0.5,1.14,-9.67,-6.74,-2.91,160.42,35.217840000000024
2023-03-23 23-28-07-995316,0,0,1530,1470,178.857,-12.926,-0.48,1.13,-9.71,-6.68,-2.75,160.26,35.05784000000003
2023-03-23 23-28-08-217556,0,0,1530,1470,178.857,-12.926,-0.48,1.16,-9.71,-6.77,-3.0,160.47,35.267840000000035
2023-03-23 23-28-08-442930,0,0,1530,1470,178.857,-12.926,-0.6,1.16,-9.65,-6.88,-3.77,160.64,35.43784000000002
2023-03-23 23-28-08-665600,0,0,1530,1470,178.857,-12.926,-0.6,1.18,-9.67,-6.95,-3.75,160.74,35.537840000000045
2023-03-23 23-28-08-889665,0,0,1530,1470,178.857,-12.926,-0.53,1.18,-9.68,-6.87,-3.1,160.78,35.57784000000004
2023-03-23 23-28-09-113295,0,0,1530,1470,178.857,-12.926,-0.51,1.15,-9.69,-6.77,-2.89,160.46,35.257840000000044
2023-03-23 23-28-09-337205,0,0,1530,1470,178.945,-12.926,-0.46,1.14,-9.71,-6.7,-2.86,160.5,35.297840000000036
2023-03-23 23-28-09-572174,0,0,1530,1470,178.857,-12.926,-0.52,1.2,-9.68,-6.69,-3.29,160.66,35.45784000000003
2023-03-23 23-28-09-801647,0,0,1530,1470,178.857,-12.926,-0.59,1.16,-9.67,-6.74,-3.68,160.62,35.41784000000004
2023-03-23 23-28-10-025308,0,0,1530,1470,178.857,-12.926,-0.55,1.14,-9.7,-6.77,-3.25,160.76,35.55784000000003
2023-03-23 23-28-10-249578,0,0,1530,1470,178.945,-12.926,-0.48,1.15,-9.69,-6.69,-2.8,160.54,35.33784000000003
2023-03-23 23-28-10-474346,0,0,1530,1470,178.945,-12.926,-0.46,1.12,-9.7,-6.67,-2.6,160.24,35.037840000000045
2023-03-23 23-28-10-698190,0,0,1530,1470,178.857,-12.926,-0.45,1.15,-9.69,-6.74,-2.83,160.35,35.14784000000003
